Report ID,Reporting Entity,Report Submission Date,Incident Date,City,State,Roadway Type,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,SV Precrash Speed (MPH),Weather - Clear,Weather - Rain,Weather - Fog/Smoke/Haze,Automation System Engaged?,Engagement Status,Within ODD?,Narrative,Incident Year,Incident Month,Incident Month Name,Incident Quarter,Reporting Delay Months
13781-11687,"Tesla, Inc.",2026-03-01,2025-09-01,Austin,TX,Parking Lot,Other Fixed Object,Property Damage. No Injured Reported,Making Left Turn,6, , , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS was stopped in the bi-directional turn lane (or center left turn lane) of a five lane road with its left indicator active. When the two lanes of oncoming traffic were clear, the ADS made an unprotected left turn into an entrance of a parking lot. As the ADS entered the parking lot, the ADS made contact with a metal chain. The ADS had a safety monitor present with one passenger in the vehicle.",2025,9,September,3,6
13781-11784,"Tesla, Inc.",2025-09-01,2025-09-01,Austin,TX,Intersection,Passenger Car,Property Damage. No Injured Reported,Proceeding Straight,6,Y, , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,9,September,3,0
13781-11784,"Tesla, Inc.",2026-03-01,2025-09-01,Austin,TX,Intersection,Passenger Car,Property Damage. No Injured Reported,Proceeding Straight,6,Y, , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS proceeded straight in a parking lot. A passenger vehicle came into view while reversing from a perpendicular parking aisle on the right, which was marked for entry only, and was moving toward the Tesla ADS in the wrong direction against directional road markings. The Tesla ADS reduced vehicle speed and steered to the left. The reversing passenger vehicle continued reversing  and made contact with the right side of the Tesla vehicle. Safety monitor was present and no passengers were inside the vehicle.",2025,9,September,3,6
13781-11786,"Tesla, Inc.",2025-09-01,2025-09-01,Austin,TX,Street,Non-Motorist: Cyclist,Property Damage. No Injured Reported,Stopped,0,Y, , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,9,September,3,0
13781-11786,"Tesla, Inc.",2026-03-01,2025-09-01,Austin,TX,Street,Non-Motorist: Cyclist,Property Damage. No Injured Reported,Stopped,0,Y, , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS was stopped in a straight through lane with other vehicles stopped at a red light. A pedicab, approaching from behind in the bike lane on the right, made contact with the right side mirror of the stopped ADS as it rode by. Safety monitor was present and no passengers were inside the vehicle.",2025,9,September,3,6
13781-11787,"Tesla, Inc.",2025-10-01,2025-09-01,Austin,TX,Intersection,Animal,No Injured Reported,Stopped,27, , , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,9,September,3,1
13781-11787,"Tesla, Inc.",2026-03-01,2025-09-01,Austin,TX,Intersection,Animal,No Injured Reported,Stopped,27, , , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS was proceeding straight in the center lane of the three lane street. As the Tesla ADS was approaching a green light at an intersection, a dog perpendicular to the Tesla vehicle is seen running into the intersection from the right. The Tesla ADS reduced vehicle speed and steered to the left. The dog proceeded to run onto the main road and toward the Tesla ADS's lane and path. The Tesla ADS continued to reduce vehicle speed and biased left in lane. The dog ran toward the Tesla and made contact with the bottom of the Tesla ADS's front right bumper which caused the dog to be pushed to the right, into the lane and path of an approaching van. As the Tesla ADS continued to proceed forward, the dog appeared behind the van and was seen running away from the street, only to turn around and run back toward the street. Safety monitor was present and no passengers were inside the vehicle.",2025,9,September,3,6
13781-11986,"Tesla, Inc.",2026-03-01,2025-10-01,Austin,TX,Street,"Other, see Narrative",Property Damage. No Injured Reported,Proceeding Straight,18, , , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS made a left turn onto a residential street. As the ADS passed a residential house, with a dump trailer parked in the driveway and the trailer's gooseneck hitch sticking out into the street, the ADS's side mirror made contact with the gooseneck hitch. Safety monitor was present and no passengers were inside the vehicle.",2025,10,October,4,5
13781-11986,"Tesla, Inc.",2025-12-01,2025-10-01,Austin,TX,Street,"Other, see Narrative",Property Damage. No Injured Reported,Proceeding Straight,18, , , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,10,October,4,2
13781-11986,"Tesla, Inc.",2025-10-01,2025-10-01,Austin,TX,Street,"Other, see Narrative",No Injured Reported,Proceeding Straight,18, , , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,10,October,4,0
