Report ID,Reporting Entity,Report Submission Date,Incident Date,City,State,Roadway Type,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,SV Precrash Speed (MPH),Automation System Engaged?,Engagement Status,Within ODD?,Narrative,Incident Year,Incident Month,Incident Month Name,Incident Quarter,Reporting Delay Months,Weather Condition,Severity Group,Crash Counterpart Group
30270-11190,Waymo LLC,2025-06-01,2025-06-01,Phoenix,AZ,Intersection,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 2:46 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a passenger car on [XXX at [XXX]. 
The Waymo AV was stopped facing south in the rightmost lane on [XXX] for a red light at the intersection at [XXX]. While the Waymo AV remained stopped, a passenger car traveling southbound in the rightmost lane on [XXX] approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because of airbag deployment and a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,0,Clear,No Injury,Passenger Vehicle
30270-11215,Waymo LLC,2025-07-01,2025-06-01,Miami,FL,Street,Passenger Car,Property Damage. No Injured Reported,Passing,4,ADS,Verified Not Engaged,Yes,"On June [XXX], 2025 at 9:22 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Miami, Florida was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling southbound on [XXX] in autonomous mode in the left lane when it approached a passenger car stopped in the left lane with its left turn signal activated at the intersection with [XXX]. The Waymo AV merged into the right lane to pass the passenger car and the test driver disengaged the Waymo AV's ADS as the Waymo AV began to merge back into the left lane. As the test driver attempted to merge in front of the passenger car, the passenger car proceeded straight and the passenger side of the passenger car made contact with the front driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11214,Waymo LLC,2025-07-01,2025-06-01,Guadalupe,AZ,Street,Passenger Car,Property Damage. No Injured Reported,Proceeding Straight,15,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 6:01 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Guadalupe, Arizona was in a collision involving a passenger car on [XXX] near [XXX]. 
The Waymo AV was traveling southbound on [XXX] and began to slow for a queue of traffic at the intersection at [XXX]. A passenger car traveling southbound on [XXX] approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11213,Waymo LLC,2025-07-01,2025-06-01,San Francisco,CA,Street,Bus,Property Damage. No Injured Reported,Parked,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 11:17 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a bus on [XXX] near [XXX]. 
The Waymo AV was parked towards the curb, with the driver side rear of the vehicle partially in lane facing north on [XXX] for a passenger drop-off. As a bus traveling northbound on [XXX] attempted to pass to the left of the Waymo AV, a passenger in the Waymo AV opened the rear driver side door of the Waymo AV and the passenger side of the bus made contact with the rear driver side door of the stationary Waymo AV. The passengers in the Waymo AV were not belted at the time of the collision as they were exiting. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Commercial Vehicle
30270-11163,Waymo LLC,2025-07-01,2025-06-01,San Francisco,CA,Street,Van,Property Damage. No Injured Reported,Parked,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 3:21 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a van on [XXX] at [XXX]. 
The Waymo AV was parked towards the curb, with the driver side rear partially in lane on eastbound [XXX] at the designated passenger loading zone with its hazard lights activated for a passenger pick-up. A van traveling northbound on [XXX] began to turn right onto [XXX], and came to a stop mid turn behind the Waymo AV. The van then attempted to complete the right turn, passing the Waymo AV on the left side and the passenger side of the van made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The two passengers did not have their seatbelts as they were entering the Waymo AV at the time of the collision. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30291-11324,Nuro,2025-07-01,2025-06-01,Santa Clara,CA,Street,"Other, see Narrative",No Injured Reported,Proceeding Straight,13,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","On Tuesday, June [XXX], 2025 a Nuro vehicle operating in autonomous mode encountered a trash bin that had been placed away from the curb, sticking out into the travel lane, and due to operator error, the side mirror tapped it. The bin was not damaged or moved, but a plastic attachment to the Nuro vehicle sustained negligible damage. Law enforcement was not involved and there were no injuries reported or VRUs present.",2025,6,June,2,1,Clear,No Injury,Other / Unknown
30270-11297,Waymo LLC,2025-07-01,2025-04-01,Phoenix,AZ,Parking Lot,"Other, see Narrative",Property Damage. No Injured Reported,Proceeding Straight,5,ADS,Verified Engaged,Yes,"On April [XXX], 2025 at 7:21 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a chain at a parking lot entrance at [XXX]. 
The Waymo AV was traveling westbound on [XXX] when it made a left turn into a parking lot at [XXX]. As the Waymo AV proceeded to enter the parking lot, the front of the Waymo AV made contact with a chain hanging across the entrance to the parking lot. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The chain sustained damage. Waymo became aware of damage to the chain on June 26th, 2025.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,4,April,2,3,Unknown,No Injury,Other / Unknown
30270-11250,Waymo LLC,2025-07-01,2025-06-01,Los Angeles,CA,Street,Van,Property Damage. No Injured Reported,Parked,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 10:36 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a minivan on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing west on [XXX] for a passenger pick-up with hazard lights activated. A minivan that was traveling southbound on [XXX] and making a right turn onto westbound [XXX] approached the stationary Waymo AV from behind, momentarily stopped, and proceeded to pass to the left of the Waymo AV. The passenger side of the minivan made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The minivan sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
669-11335,Hyundai Motor America,2025-07-01,2025-06-01,Paradise,NV,Intersection,SUV,No Injured Reported,"Other, see Narrative",0,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11239,Waymo LLC,2025-07-01,2025-06-01,Los Angeles,CA,Parking Lot,"Other, see Narrative",Property Damage. No Injured Reported,Proceeding Straight,7,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 12:18 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a chain in a parking lot at [XXX]. 
The Waymo AV was traveling southbound on [XXX] when it made a right turn into a parking lot at [XXX]. As the Waymo AV was traveling westbound into the parking lot, the front of the Waymo AV made contact with a hanging chain separating a section of the parking lot. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV and the chain sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Other / Unknown
