Report ID,Reporting Entity,Report Submission Date,Incident Date,City,State,Roadway Type,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,SV Precrash Speed (MPH),Automation System Engaged?,Engagement Status,Within ODD?,Narrative,Incident Year,Incident Month,Incident Month Name,Incident Quarter,Reporting Delay Months,Weather Condition,Severity Group,Crash Counterpart Group
30270-11193,Waymo LLC,2025-07-01,2025-06-01,Los Angeles,CA,Parking Lot,Other Fixed Object,Property Damage. No Injured Reported,Proceeding Straight,2,ADS,Verified Engaged,Yes,"On June[XXX], 2025 at 2:13 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a chain in a parking lot at [XXX]. 
The Waymo AV was traveling southwestbound in a parking lot at [XXX] when the front of the Waymo AV made contact with a chain separating a section of the parking lot. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Fixed Infrastructure
30270-11160,Waymo LLC,2025-07-01,2025-06-01,Phoenix,AZ,Intersection,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 11:46 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling southbound on [XXX] and came to a stop for a red light at the intersection with [XXX]. A passenger car traveling southbound on [XXX] approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11212,Waymo LLC,2025-07-01,2025-06-01,Austin,TX,Street,SUV,Minor W/O Hospitalization,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 10:26 PM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was traveling southbound on [XXX] in the second lane from the right and came to a stop in a queue of traffic for a red light at the intersection at [XXX]. An SUV approached the Waymo AV from behind, and the front of the SUV made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The passenger in the Waymo AV alleged a minor injury.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,Minor Injury,Passenger Vehicle
30270-11167,Waymo LLC,2025-07-01,2025-06-01,Scottsdale,AZ,Street,Passenger Car,Property Damage. No Injured Reported,Parked,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 3:47 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Scottsdale, Arizona was in a collision involving a passenger car on [XXX] at Hayden Road. 
The Waymo AV was parked at the curb facing east on [XXX] when a passenger car that was parked directly in front of the Waymo AV proceeded to reverse, and the rear of the passenger car made contact with the front of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11173,Waymo LLC,2025-07-01,2025-06-01,Austin,TX,Street,Pickup Truck,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 9:36 PM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a pickup truck on [XXX] near [XXX]. 
The Waymo AV was stopped in-lane facing west on [XXX] for a passenger pick-up with hazard lights activated. A pickup truck approached the Waymo AV from behind, and the front of the pickup truck made contact with the rear of the stationary Waymo AV. The pickup truck then reversed, maneuvered around the left of the Waymo AV, and stopped directly in front of the stationary Waymo AV. While the Waymo AV remained stopped, the pickup truck reversed again, and the rear of the pickup truck made contact with the front of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11210,Waymo LLC,2025-07-01,2025-06-01,San Francisco,CA,Street,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On June[XXX], 2025 at 3:09 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] near [XXX]. 
The Waymo AV was traveling northeastbound on [XXX] in the second from the right lane and stopped in a queue of traffic for a red light at the intersection at [XXX].  A passenger car traveling northeastbound on [XXX] approached the Waymo AV from behind and attempted to change lanes into the left lane. As the passenger car passed the Waymo AV, the passenger side of the passenger car made contact with the rear driver side of the stationary Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode.  Both vehicles sustained damage. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11172,Waymo LLC,2025-07-01,2025-06-01,Los Angeles,CA,Street,SUV,Property Damage. No Injured Reported,Proceeding Straight,22,ADS,Verified Engaged,Yes,"On June[XXX], 2025 at 7:07 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was traveling southeastbound on [XXX] in the rightmost lane when an SUV traveling ahead of the Waymo AV southeastbound on [XXX] in the second from the right lane initiated a right turn into a parking garage entrance on the south side of [XXX]. As the Waymo AV was passing the SUV, the SUV crossed the lane line, into the Waymo AV's lane of travel, and the front passenger side of the SUV made contact with the driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. The passenger in the Waymo AV was not belted at the time of the collision.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11208,Waymo LLC,2025-07-01,2025-06-01,Austin,TX,Intersection,SUV,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 9:05 PM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was traveling southbound on [XXX] and came to a stop for a red light at the intersection at [XXX]. An SUV approached the Waymo AV from behind, and the front of the SUV made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11162,Waymo LLC,2025-07-01,2025-06-01,San Francisco,CA,Street,SUV,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 4:47 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was traveling northbound on [XXX] and making a slight right onto [XXX] when it came to a stop on the right side of its lane to yield to an SUV traveling southwestbound on [XXX]. The SUV attempted to pass the stationary Waymo AV, stopped momentarily, and then began to reverse. The SUV then continued its attempt to pass, and the front driver side of the SUV made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11207,Waymo LLC,2025-07-01,2025-06-01,Santa Monica,CA,Street,Passenger Car,Property Damage. No Injured Reported,Parked,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 5:01 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Santa Monica, California was in a collision involving a passenger car on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing northeast on [XXX] for a passenger drop-off when a passenger car traveling northeast on [XXX] passed the Waymo AV.  While the passenger car passed the parked Waymo AV, a passenger in the Waymo AV opened the rear driver side door, and  the passenger side of the passenger car made contact with the opened rear driver side door of the stationary Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. The passengers in the Waymo AV were not belted at the time of the collision, as they were preparing to exit the Waymo AV.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11170,Waymo LLC,2025-07-01,2025-06-01,San Francisco,CA,Street,Passenger Car,Property Damage. No Injured Reported,Parked,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 9:26 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing north on [XXX] when a passenger car attempting to parallel park directly in front of the Waymo AV proceeded to reverse, and the back of the passenger car made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11472,Waymo LLC,2025-08-01,2025-07-01,Miami Beach,FL,Intersection,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 4:17 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Miami Beach, Florida was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling southbound on [XXX] in the right lane and slowed to a stop for a red light at the intersection with [XXX]. A passenger car traveling directly behind the Waymo AV approached the Waymo AV from behind, and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,No Injury,Passenger Vehicle
30270-11455,Waymo LLC,2025-08-01,2025-07-01,San Francisco,CA,Intersection,SUV,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 2:00 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was traveling southeastbound on a narrow portion of [XXX] when it came to a stop at the intersection at [XXX] to yield to an SUV that was traveling northwestbound on [XXX]. While the Waymo AV was stopped, the SUV proceeded to pass the Waymo AV and the left side of the SUV made contact with the rear left side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Unknown,No Injury,Passenger Vehicle
30270-11451,Waymo LLC,2025-08-01,2025-07-01,Austin,TX,Street,Heavy Truck,Property Damage. No Injured Reported,Proceeding Straight,3,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 11:08 AM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was traveling westbound on [XXX] in the left lane. A heavy truck that was stopped facing west in the right lane began to reverse into an alley on the north side of [XXX], and then came to a stop with its front left positioned partially within the left lane of [XXX]. The Waymo AV was proceeding in the left lane and maneuvered towards the left side within the left lane. The heavy truck then proceeded forward and further into the left lane, and the front left side of the heavy truck made contact with the front right side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,No Injury,Commercial Vehicle
30270-11468,Waymo LLC,2025-08-01,2025-07-01,San Francisco,CA,Intersection,SUV,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 8:04 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was traveling northbound on [XXX] when it slowed to a stop for a stop sign at the intersection at [XXX]. While the Waymo AV was stopped, an SUV approached the Waymo AV from behind and the front of the SUV made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Unknown,No Injury,Passenger Vehicle
30270-11428,Waymo LLC,2025-08-01,2025-07-01,San Francisco,CA,Intersection,SUV,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 10:45 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was stopped facing northwest in the second from the left lane on [XXX] for a red light at the intersection at [XXX]. When the light turned green, the Waymo AV began to move forward momentarily and then stopped to yield to an active emergency vehicle traveling southwestbound on [XXX] with emergency lights activated. While the Waymo AV was stopped, an SUV approached the Waymo AV from behind and the front of the SUV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,No Injury,Passenger Vehicle
30270-11426,Waymo LLC,2025-08-01,2025-07-01,Tempe,AZ,Parking Lot,"Other, see Narrative",Property Damage. No Injured Reported,Proceeding Straight,5,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 11:40 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a line of shopping carts in a parking lot at [XXX]. 
The Waymo was parked at the curb facing south in a parking lot at [XXX] for a passenger pick-up. The AV completed its pick-up and began moving forward as a pedestrian pushing a line of shopping carts towards the curb approached the AV from the left. As the Waymo AV began moving forward, the pedestrian continued pushing the shopping carts forward and the front left of the Waymo AV made contact with the shopping carts. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. The passenger was not belted at the time of the collision, having just entered the vehicle.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,No Injury,Other / Unknown
30270-11421,Waymo LLC,2025-08-01,2025-07-01,San Francisco,CA,Intersection,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 3:50 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling northbound in the right lane on [XXX] when it came to a stop in a queue of traffic for a red light at the intersection at [XXX]. A passenger car that was traveling behind the Waymo approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV and the passenger car sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Unknown,No Injury,Passenger Vehicle
30270-11415,Waymo LLC,2025-08-01,2025-07-01,San Mateo,CA,Intersection,Pickup Truck,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 8:05 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Mateo, California was in a collision involving a pickup truck on [XXX] at [XXX]. 
The Waymo AV was stopped facing northwest in the right lane on [XXX] for a red light in a queue of traffic at the intersection at [XXX]. While the Waymo AV was stopped, a pickup truck traveling northwestbound in the right lane on [XXX] approached the Waymo AV from behind and the front of the pickup truck made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Unknown,No Injury,Passenger Vehicle
30270-11422,Waymo LLC,2025-08-01,2025-07-01,San Francisco,CA,Street,"Other, see Narrative",Property Damage. No Injured Reported,Proceeding Straight,7,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 7:29 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a small dumbbell on [XXX] near [XXX]. 
The Waymo AV was traveling southwestbound on [XXX] and the front right tire of the Waymo AV made contact with a small dumbbell in the Waymo AV's lane of travel. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The dumbbell sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Unknown,No Injury,Other / Unknown
30270-11419,Waymo LLC,2025-08-01,2025-07-01,Austin,TX,Parking Lot,Other Fixed Object,Property Damage. No Injured Reported,Proceeding Straight,3,ADS,Verified Not Engaged,Yes,"On July [XXX], 2025 at 7:36 PM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving the roof of a covered parking stall at [XXX]. 
The Waymo AV was traveling northwestbound in a parking lot at [XXX] when the test driver transitioned the Waymo AV to manual mode. The test driver proceeded to make a right turn into a covered parking stall and the sensor mounted on the roof of the Waymo AV made contact with the front edge of the roof covering the parking stall. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,No Injury,Fixed Infrastructure
30270-11379,Waymo LLC,2025-08-01,2025-07-01,Tempe,AZ,Parking Lot,Other Fixed Object,Property Damage. No Injured Reported,Proceeding Straight,7,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 12:16 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a small piece of concrete at a parking lot at [XXX]. 
The Waymo AV was stopped facing north at the entrance of a parking lot at [XXX] for a passenger drop-off. After the passengers had exited, the Waymo AV traveled northbound to enter the parking lot and the front and undercarriage of the Waymo AV made contact with a small piece of concrete on the pavement in the center of the driveway and attached to a chain at the entrance of the parking lot. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,No Injury,Fixed Infrastructure
30270-11381,Waymo LLC,2025-08-01,2025-07-01,Scottsdale,AZ,Intersection,Passenger Car,Property Damage. No Injured Reported,Proceeding Straight,22,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 1:12 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Scottsdale, Arizona was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was stopped facing north in the second from the right lane on [XXX] for a red light at the intersection at [XXX]. When the light turned green, the Waymo AV proceeded straight, and a passenger car that was facing south in the left turn lane on [XXX] proceeded to make an unprotected left turn onto eastbound [XXX]. As the passenger car crossed into the Waymo AV's lane of travel, the Waymo maneuvered to the right and the front driver side of the passenger car made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,No Injury,Passenger Vehicle
30270-11467,Waymo LLC,2025-08-01,2025-07-01,Los Angeles,CA,Parking Lot,Other Fixed Object,Property Damage. No Injured Reported,Proceeding Straight,2,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 4:11 AM PT a Waymo Autonomous Vehicle (""Waymo AV:) operating in Los Angeles, California was in a collision involving a barrier arm at the entrance of a parking lot at [XXX]. 
The Waymo AV was traveling westbound at the southeastern entrance to a parking lot at [XXX] and came to a stop for a closed barrier arm. The Waymo AV proceeded forward at a low speed and the front of the Waymo AV made contact with the closed barrier arm. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV and barrier arm sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,No Injury,Fixed Infrastructure
30270-11452,Waymo LLC,2025-08-01,2025-07-01,San Francisco,CA,Intersection,Non-Motorist: Scooter - Skateboard,Minor W/O Hospitalization,Stopped,0,ADS,Verified Engaged,Yes,"On [XXX] at 10:31 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a scooterist on [XXX] at [XXX]. 
The Waymo AV was stopped at the curb facing north on [XXX] for a passenger drop-off when the passenger in the Waymo AV opened the rear right door. As the rear right door was being opened by the passenger, a scooterist that was traveling northbound in the rightmost lane on [XXX] proceeded to pass to the right of the Waymo AV. The left handlebar of the scooter made contact with the open rear right door of the stationary Waymo AV, and the scooterist remained standing after the impact. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The scooterist alleged a minor injury and that the scooter sustained damage. The passenger in the Waymo AV was not belted at the time of the collision, as the passenger was preparing to exit the Waymo AV. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,Minor Injury,Vulnerable Road User
30270-11412,Waymo LLC,2025-08-01,2025-07-01,Tempe,AZ,Street,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 11:39 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a passenger car on [XXX] near [XXX].
The Waymo AV was traveling southbound on [XXX] and slowing to a stop in response to a passenger car that was traveling westbound on [XXX] and turning right onto northbound [XXX]. As the passenger car was completing its turn, it crossed the center line into the Waymo AV's lane of travel and the driver side of the passenger car made contact with the driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,No Injury,Passenger Vehicle
30270-11414,Waymo LLC,2025-08-01,2025-07-01,Los Angeles,CA,Street,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 7:35 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling northeastbound in the third from the right lane on [XXX] and attempting to merge into the left turn lane when it stopped to yield to a queue of traffic that filled the left turn lane at the intersection at [XXX]. A passenger car traveling northeastbound on [XXX] in the third from the right lane attempted to change lanes to the right as it approached the Waymo AV, and the front driver side of the passenger car made contact with the rear passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,No Injury,Passenger Vehicle
30270-11516,Waymo LLC,2025-08-01,2025-08-01,San Francisco,CA,Intersection,Heavy Truck,Property Damage. No Injured Reported,Proceeding Straight,13,ADS,Verified Engaged,Yes,"On August 16, 2025 at 7:47 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] and [XXX]. 
The Waymo AV was traveling westbound on [XXX] when it came to a stop in the intersection with [XXX] to yield to a heavy truck that was traveling northwestbound on [XXX] and attempting to make a sharp left turn onto southbound [XXX]. The heavy truck reversed momentarily in the Waymo AV's lane of travel and proceeded forward before it stopped facing south for pedestrians that were crossing [XXX]. The Waymo AV proceeded to maneuver around the stationary heavy truck, passing to the rear of the truck. While the Waymo AV was passing behind the heavy truck, the heavy truck began reversing and the rear of the heavy truck made contact with the left side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,8,August,3,0,Unknown,No Injury,Commercial Vehicle
30610-11514,"Zoox, Inc.",2025-08-01,2025-07-01,San Francisco,CA,Street,Animal,Unknown,Proceeding Straight,13,ADS,Verified Engaged,Yes,"A Zoox vehicle (Vehicle 1) in autonomous mode was traveling in the left lane on southwest-bound [XXX] toward [XXX] in San Francisco when a ball, immediately followed by a dog, entered the roadway from between parked cars on the left side of [XXX] directly into the path of the Zoox vehicle.  The Zoox vehicle braked in response, but its underbody made contact with the dog.  The Zoox vehicle operator then disengaged autonomous mode and brought the vehicle to a stop. The Zoox vehicle operator then reversed the vehicle to free the dog.  The dog owner did not indicate injuries to the dog at the scene. The dog and its owner then returned to the sidewalk and the Zoox vehicle operator drove the vehicle from the scene.  The police were not called.  Zoox subsequently received an email alleging injuries to the dog, ""abrasions behind its left front leg and a possible cracked rib.""",2025,7,July,3,1,Clear,Unknown,Animal
30270-11404,Waymo LLC,2025-08-01,2025-07-01,Beverly Hills,CA,Street,Passenger Car,Property Damage. No Injured Reported,Parked,0,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 12:01 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Beverly Hills, California was in a collision involving a passenger car on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing east on [XXX] after a passenger drop-off when a passenger car that was traveling northbound in an alley behind the Waymo AV made a right turn onto eastbound [XXX]. As the passenger car was completing its turn, the passenger side of the passenger car made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,1,Clear,No Injury,Passenger Vehicle
